Brand,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Power Reserve,Price (USD)
TAG Heuer,Stainless Steel,Stainless Steel,Automatic,300 meters,43,12.5,21,Black,Sapphire,38 hours,"3,100"
Breitling,Stainless Steel,Rubber,Automatic,1000 meters,42,13.3,20,Blue,Sapphire,38 hours,"4,100"
Panerai,Stainless Steel,Leather,Automatic,300 meters,44,13.05,24,Black,Sapphire,72 hours,"6,500"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,12.7,22,Black,Sapphire,70 hours,"3,800"
Zenith,Stainless Steel,Leather,Automatic,50 meters,39,8.15,20,Silver,Sapphire,50 hours,"4,900"
Longines,Stainless Steel,Leather,Automatic,50 meters,40,10.75,20,Silver,Sapphire,54 hours,"1,850"
Montblanc,Stainless Steel,Leather,Automatic,50 meters,42,11.4,22,White,Sapphire,42 hours,"3,900"
Baume & Mercier,Stainless Steel,Leather,Automatic,50 meters,40,10.3,20,Silver,Sapphire,120 hours,"2,750"
Rolex,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,41,11.8,20,Blue,Sapphire,70 hours,"9,500"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,13.75,20,Black,Hesalite,48 hours,"5,350"
Breitling,Stainless Steel,Stainless Steel,Automatic,200 meters,44,14.2,22,Blue,Sapphire,38 hours,"3,250"
Cartier,18K Yellow Gold,Leather,Manual,30 meters,27.5,6.5,18,Silver,Sapphire,N/A,"14,200"
Tag Heuer,Stainless Steel,Leather,Automatic,100 meters,39,14,22,Blue,Sapphire,40 hours,"4,950"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,40,8.5,20,Silver,Sapphire,70 hours,"6,500"
Panerai,Titanium,Rubber,Manual,300 meters,44,15.6,24,Black,Sapphire,72 hours,"8,500"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"27,000"
IWC,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20,Silver,Sapphire,46 hours,"7,250"
Patek Philippe,18K White Gold,Leather,Manual,30 meters,38,8.25,20,White,Sapphire,44 hours,"25,000"
Bell & Ross,Ceramic,Rubber,Automatic,100 meters,42,9.8,24,Black,Sapphire,40 hours,"3,800"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12.5,20,Silver,Sapphire,70 hours,"8,000"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"4,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20,Blue,Sapphire,45 hours,"52,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"28,500"
IWC,Stainless Steel,Leather,Automatic,60 meters,41,12.5,20,Black,Sapphire,44 hours,"6,800"
Hublot,Ceramic,Rubber,Automatic,100 meters,42,14.1,24,Black,Sapphire,72 hours,"16,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,Black,Sapphire,50 hours,"6,500"
Breguet,18K White Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,40 hours,"19,000"
Blancpain,Stainless Steel,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"13,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,25,Black,Sapphire,46 hours,"8,000"
Jaquet Droz,Stainless Steel,Leather,Automatic,30 meters,43,12.48,23,Silver,Sapphire,68 hours,"10,000"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,70 hours,"9,700"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21,Blue,Sapphire,45 hours,"29,800"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"5,350"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"18,500"
IWC,Stainless Steel,Leather,Automatic,60 meters,43,15,22,Black,Sapphire,72 hours,"4,950"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,White,Sapphire,50 hours,"7,900"
Cartier,Stainless Steel,Leather,Manual,30 meters,31.4,7.25,18,Silver,Sapphire,N/A,"4,500"
Hublot,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,72 hours,"16,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,54 hours,"12,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,40,8.78,20,Silver,Sapphire,70 hours,"8,500"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,42 hours,"8,500"
Panerai,Titanium,Rubber,Automatic,300 meters,44,13.05,24,Black,Sapphire,72 hours,"7,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,45 hours,"39,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,37,9.8,20,Blue,Sapphire,40 hours,"19,500"
Hublot,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,72 hours,"13,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,12.75,20,White,Sapphire,50 hours,"7,500"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,22,Blue,Sapphire,60 hours,"23,000"
Breguet,18K White Gold,Leather,Manual,30 meters,40,6.95,20,Silver,Sapphire,50 hours,"24,000"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"11,000"
Chopard,Stainless Steel,Leather,Automatic,50 meters,44,14.45,22,Black,Sapphire,42 hours,"6,000"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,36,12,20,Silver,Sapphire,70 hours,"7,500"
Omega,Stainless Steel,Stainless Steel,Automatic,50 meters,42,13.7,20,Black,Sapphire,60 hours,"6,500"
Tag Heuer,Stainless Steel,Stainless Steel,Automatic,300 meters,43,13,21,Blue,Sapphire,38 hours,"3,700"
Breitling,Stainless Steel,Rubber,Automatic,200 meters,44,14.2,22,Black,Sapphire,42 hours,"4,500"
Cartier,Stainless Steel,Stainless Steel,Automatic,30 meters,42,13,22,Silver,Sapphire,42 hours,"7,500"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,40,8.8,20,Silver,Sapphire,70 hours,"6,000"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,70 hours,"9,500"
Omega,Stainless Steel,Stainless Steel,Automatic,100 meters,39,10.6,20,Black,Sapphire,50 hours,"4,800"
Tag Heuer,Stainless Steel,Leather,Automatic,100 meters,39,14.5,22,Blue,Sapphire,40 hours,"5,200"
Breitling,Stainless Steel,Stainless Steel,Automatic,200 meters,44,16.95,22,Blue,Sapphire,70 hours,"6,900"
Cartier,Stainless Steel,Stainless Steel,Automatic,100 meters,35.1,8.83,18,Silver,Sapphire,42 hours,"5,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,41,11.7,20,White,Sapphire,70 hours,"8,000"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21,Blue,Sapphire,45 hours,"40,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,37,9,16,Blue,Sapphire,60 hours,"18,000"
IWC,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,22,White,Sapphire,60 hours,"7,500"
Hublot,Titanium,Rubber,Automatic,100 meters,44,14.5,25,Black,Sapphire,72 hours,"14,000"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"14,000"
Breguet,Rose Gold,Leather,Manual,30 meters,40,6.8,20,Silver,Sapphire,55 hours,"25,000"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,7.8,20,Silver,Sapphire,70 hours,"6,500"
Zenith,Stainless Steel,Stainless Steel,Automatic,100 meters,42,12.75,20,Blue,Sapphire,50 hours,"7,000"
Bulgari,Titanium,Titanium,Automatic,30 meters,40,5.15,28,Black,Sapphire,55 hours,"10,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,54 hours,"9,000"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.1,20,Black,Sapphire,70 hours,"9,450"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21,Blue,Sapphire,55 hours,"29,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,50 hours,"22,300"
Hublot,Titanium,Rubber,Automatic,50 meters,42,10.6,22,Black,Sapphire,42 hours,"8,100"
IWC,Stainless Steel,Leather,Automatic,60 meters,40,10.8,20,Black,Sapphire,42 hours,"3,900"
A. Lange & Söhne,Rose Gold,Leather,Manual,30 meters,38.5,7.8,18,Silver,Sapphire,72 hours,"23,300"
Breguet,Rose Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,65 hours,"23,200"
Chopard,Stainless Steel,Leather,Automatic,50 meters,44,14.4,22,Black,Sapphire,42 hours,"6,300"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.45,20,White,Sapphire,50 hours,"5,600"
Panerai,Titanium,Leather,Manual,100 meters,44,13.05,24,Black,Sapphire,56 hours,"6,900"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.4,20,White,Sapphire,72 hours,"13,500"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"4,500"
Cartier,Stainless Steel,Leather,Automatic,100 meters,39.8,9.08,20,Silver,Sapphire,42 hours,"6,600"
Breitling,Stainless Steel,Leather,Automatic,200 meters,42,14.35,20,Black,Sapphire,38 hours,"4,400"
Tag Heuer,Stainless Steel,Stainless Steel,Automatic,300 meters,41,12,20,Blue,Sapphire,38 hours,"2,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,40,7.45,20,Silver,Sapphire,43 hours,"6,300"
Patek Philippe,18k Rose Gold,Leather,Manual,30 meters,38,7.68,19,White,Sapphire,44 hours,"22,900"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,60 hours,"22,500"
Zenith,Stainless Steel,Stainless Steel,Automatic,100 meters,42,12.75,20,Blue,Sapphire,50 hours,"6,900"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41,11,20,Black,Sapphire,60 hours,"20,200"
IWC,Stainless Steel,Leather,Automatic,30 meters,40.4,12.6,20,Silver,Sapphire,44 hours,"7,600"
Panerai,Stainless Steel,Leather,Automatic,300 meters,44,15.65,24,Black,Sapphire,72 hours,"6,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21,Blue,Sapphire,45 hours,"34,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Black,Sapphire,60 hours,"22,000"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,White,Sapphire,168 hours,"9,500"
Hublot,Ceramic,Rubber,Automatic,100 meters,41,14.6,20,Black,Sapphire,42 hours,"14,000"
Breguet,18k Rose Gold,Leather,Manual,30 meters,39,10.2,22,Silver,Sapphire,40 hours,"26,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.5,20,Silver,Sapphire,50 hours,"7,000"
Blancpain,Stainless Steel,NATO strap,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"10,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,22,Blue,Sapphire,54 hours,"11,500"
Ulysse Nardin,Stainless Steel,Leather,Automatic,100 meters,42.2,12.6,20,Blue,Sapphire,60 hours,"7,500"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11,22,Silver,Sapphire,60 hours,"20,000"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40,8.3,20,Blue,Sapphire,45 hours,"26,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Grey,Sapphire,60 hours,"17,000"
IWC,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22,White,Sapphire,46 hours,"7,800"
A. Lange & Söhne,18k Rose Gold,Leather,Manual,30 meters,37,7.5,18,Silver,Sapphire,45 hours,"17,500"
Vacheron Constantin,Stainless Steel,Rubber,Automatic,150 meters,42.5,13.7,22,Blue,Sapphire,40 hours,"20,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,41,10.88,26,Black,Sapphire,46 hours,"12,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,42,12.75,22,Silver,Sapphire,50 hours,"7,500"
Blancpain,Stainless Steel,Rubber,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"14,000"
Hublot,Titanium,Rubber,Automatic,50 meters,45,10.95,22,Blue,Sapphire,42 hours,"9,500"
Breguet,18k White Gold,Leather,Manual,30 meters,38,8.25,20,Silver,Sapphire,40 hours,"22,000"
Piaget,Stainless Steel,Stainless Steel,Automatic,100 meters,42,9.4,22,Blue,Sapphire,44 hours,"10,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22,Blue,Sapphire,45 hours,"29,000"
Audemars Piguet,Rose Gold,Leather,Automatic,50 meters,37,9.8,20,Black,Sapphire,60 hours,"38,500"
Hublot,Titanium,Rubber,Automatic,50 meters,42,9.85,22,Blue,Sapphire,42 hours,"7,500"
Breguet,Rose Gold,Leather,Automatic,30 meters,39,10.2,20,Silver,Sapphire,65 hours,"25,000"
IWC,Stainless Steel,Leather,Automatic,60 meters,41,15.3,20,Black,Sapphire,42 hours,"5,900"
Blancpain,Stainless Steel,NATO Strap,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"12,000"
Zenith,Stainless Steel,Leather,Automatic,100 meters,38,12.45,20,Silver,Sapphire,50 hours,"6,200"
Chopard,Stainless Steel,Rubber,Automatic,50 meters,42,13.07,20,Black,Sapphire,48 hours,"6,800"
Vacheron Constantin,White Gold,Leather,Manual,30 meters,40,6.79,20,Silver,Sapphire,65 hours,"28,000"
Panerai,Titanium,Leather,Automatic,300 meters,44,16.15,24,Black,Sapphire,72 hours,"9,500"
Tudor,Stainless Steel,NATO Strap,Automatic,200 meters,41,11.9,22,Black,Sapphire,70 hours,"3,500"
Panerai,Stainless Steel,Leather,Automatic,300 meters,42,14.5,22,Black,Sapphire,50 hours,"7,200"
IWC,Stainless Steel,Leather,Automatic,30 meters,41,12.3,22,Blue,Sapphire,60 hours,"7,900"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40,8.3,22,Blue,Sapphire,45 hours,"36,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"28,500"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"15,000"
Breguet,18K Yellow Gold,Leather,Automatic,30 meters,39,10.2,20,Silver,Sapphire,38 hours,"26,000"
Zenith,Stainless Steel,Leather,Automatic,50 meters,42,13.5,22,Blue,Sapphire,50 hours,"6,500"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,38,10.88,20,Blue,Sapphire,54 hours,"12,000"
Hublot,Titanium,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,72 hours,"18,500"
Jaquet Droz,Stainless Steel,Leather,Automatic,30 meters,43,11.48,23,Black,Sapphire,68 hours,"9,500"
Montblanc,Stainless Steel,Leather,Automatic,50 meters,39,9.9,19,Silver,Sapphire,42 hours,"3,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,70 hours,"9,900"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"4,300"
IWC,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20,White,Sapphire,60 hours,"7,500"
Hublot,Ceramic,Rubber,Automatic,100 meters,44,14.5,24,Black,Sapphire,72 hours,"15,500"
Panerai,Stainless Steel,Leather,Manual,300 meters,44,13.05,24,Black,Sapphire,56 hours,"5,200"
Patek Philippe,White Gold,Leather,Automatic,30 meters,37,8.5,18,White,Sapphire,45 hours,"25,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Blue,Sapphire,60 hours,"19,500"
Vacheron Constantin,Rose Gold,Leather,Automatic,30 meters,40,6.79,20,White,Sapphire,40 hours,"15,000"
Blancpain,Titanium,Fabric,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"14,000"
Girard-Perregaux,Stainless Steel,Stainless Steel,Automatic,100 meters,42,10.88,25,Blue,Sapphire,54 hours,"7,500"
Jaquet Droz,Stainless Steel,Leather,Automatic,30 meters,43,11.48,22,White,Sapphire,68 hours,"8,500"
Rolex,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36,12,20,Blue,Sapphire,70 hours,"7,650"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"5,200"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,55 hours,"67,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Blue,Sapphire,60 hours,"25,000"
Cartier,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18,Silver,Sapphire,42 hours,"4,700"
IWC,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22,Blue,Sapphire,60 hours,"9,100"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,8.5,20,Silver,Sapphire,70 hours,"8,200"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"12,500"
Breguet,18K Rose Gold,Leather,Automatic,30 meters,39,9.9,22,White,Sapphire,65 hours,"27,900"
Chopard,Stainless Steel,Rubber,Automatic,50 meters,42,12.67,20,Black,Sapphire,42 hours,"6,500"
Seiko,Stainless Steel,Silicone,Automatic,200 meters,44.3,13.1,22,Black,Hardlex,50 hours,"1,200"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,14.75,22,Black,Sapphire,70 hours,"3,800"
IWC,Stainless Steel,Leather,Automatic,60 meters,39,10.86,20,Black,Sapphire,42 hours,"4,500"
Panerai,Titanium,Rubber,Automatic,300 meters,44,15.65,24,Black,Sapphire,72 hours,"9,500"
Patek Philippe,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20,Blue,Sapphire,45 hours,"35,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,60 hours,"24,000"
Breguet,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20,White,Sapphire,38 hours,"21,500"
Blancpain,Stainless Steel,Fabric,Automatic,300 meters,45,15.5,23,Black,Sapphire,120 hours,"13,500"
Longines,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20,Blue,Sapphire,64 hours,"1,800"
Vacheron Constantin,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11,22,Blue,Sapphire,40 hours,"19,000"
Frederique Constant,Stainless Steel,Leather,Automatic,50 meters,40,10.6,20,Silver,Sapphire,38 hours,"1,200"
